t1,t2,t3,t4,CF12_34,CF13_24,CF14_23,ngenes
Anemone_flaccida_17.fasta.transdecoder.pep,Aquilegia_formosa_9_2.fasta.transdecoder.pep,Asteropyrum_peltatum_44.fasta.transdecoder.pep,Callianthemum_alatavicum_42.fasta.transdecoder.pep,0.07003257328990228,0.14006514657980457,0.7899022801302932,614.0
Anemone_flaccida_17.fasta.transdecoder.pep,Aquilegia_formosa_9_2.fasta.transdecoder.pep,Asteropyrum_peltatum_44.fasta.transdecoder.pep,Caltha_scaposa_41.fasta.transdecoder.pep,0.44625407166123776,0.21335504885993486,0.34039087947882735,614.0
Anemone_flaccida_17.fasta.transdecoder.pep,Aquilegia_formosa_9_2.fasta.transdecoder.pep,Asteropyrum_peltatum_44.fasta.transdecoder.pep,Coptis_chinensis_4_2.fasta.transdecoder.pep,0.15309446254071662,0.7182410423452769,0.12866449511400652,614.0
Anemone_flaccida_17.fasta.transdecoder.pep,Aquilegia_formosa_9_2.fasta.transdecoder.pep,Asteropyrum_peltatum_44.fasta.transdecoder.pep,Delphinium_anthriscifolium_40.fasta.transdecoder.pep,0.4543973941368078,0.23452768729641693,0.31107491856677527,614.0
Anemone_flaccida_17.fasta.transdecoder.pep,Aquilegia_formosa_9_2.fasta.transdecoder.pep,Asteropyrum_peltatum_44.fasta.transdecoder.pep,Helleborus_thibetanus_45.fasta.transdecoder.pep,0.23778501628664495,0.19543973941368079,0.5667752442996743,614.0
Anemone_flaccida_17.fasta.transdecoder.pep,Aquilegia_formosa_9_2.fasta.transdecoder.pep,Asteropyrum_peltatum_44.fasta.transdecoder.pep,Hydrastis_canadensis_2.fasta.transdecoder.pep,0.1254071661237785,0.7328990228013029,0.14169381107491857,614.0
Anemone_flaccida_17.fasta.transdecoder.pep,Aquilegia_formosa_9_2.fasta.transdecoder.pep,Asteropyrum_peltatum_44.fasta.transdecoder.pep,Nigella_sativa_31.fasta.transdecoder.pep,0.42671009771986973,0.26058631921824105,0.3127035830618892,614.0
Anemone_flaccida_17.fasta.transdecoder.pep,Aquilegia_formosa_9_2.fasta.transdecoder.pep,Asteropyrum_peltatum_44.fasta.transdecoder.pep,Ranunculus_sceleratus_28.fasta.transdecoder.pep,0.030944625407166124,0.030944625407166124,0.9381107491856677,614.0
Anemone_flaccida_17.fasta.transdecoder.pep,Aquilegia_formosa_9_2.fasta.transdecoder.pep,Asteropyrum_peltatum_44.fasta.transdecoder.pep,Souliea_vaginata_34.fasta.transdecoder.pep,0.46742671009771986,0.24104234527687296,0.2915309446254072,614.0
Anemone_flaccida_17.fasta.transdecoder.pep,Aquilegia_formosa_9_2.fasta.transdecoder.pep,Asteropyrum_peltatum_44.fasta.transdecoder.pep,Trollius_ranunculoides_16.fasta.transdecoder.pep,0.4592833876221498,0.2736156351791531,0.2671009771986971,614.0
Anemone_flaccida_17.fasta.transdecoder.pep,Aquilegia_formosa_9_2.fasta.transdecoder.pep,Callianthemum_alatavicum_42.fasta.transdecoder.pep,Caltha_scaposa_41.fasta.transdecoder.pep,0.11237785016286644,0.739413680781759,0.1482084690553746,614.0
Anemone_flaccida_17.fasta.transdecoder.pep,Aquilegia_formosa_9_2.fasta.transdecoder.pep,Callianthemum_alatavicum_42.fasta.transdecoder.pep,Coptis_chinensis_4_2.fasta.transdecoder.pep,0.03420195439739414,0.8892508143322475,0.07654723127035831,614.0
Anemone_flaccida_17.fasta.transdecoder.pep,Aquilegia_formosa_9_2.fasta.transdecoder.pep,Callianthemum_alatavicum_42.fasta.transdecoder.pep,Delphinium_anthriscifolium_40.fasta.transdecoder.pep,0.09771986970684039,0.752442996742671,0.1498371335504886,614.0
Anemone_flaccida_17.fasta.transdecoder.pep,Aquilegia_formosa_9_2.fasta.transdecoder.pep,Callianthemum_alatavicum_42.fasta.transdecoder.pep,Helleborus_thibetanus_45.fasta.transdecoder.pep,0.15472312703583063,0.6286644951140065,0.21661237785016288,614.0
Anemone_flaccida_17.fasta.transdecoder.pep,Aquilegia_formosa_9_2.fasta.transdecoder.pep,Callianthemum_alatavicum_42.fasta.transdecoder.pep,Hydrastis_canadensis_2.fasta.transdecoder.pep,0.04723127035830619,0.8925081433224755,0.06026058631921824,614.0
Anemone_flaccida_17.fasta.transdecoder.pep,Aquilegia_formosa_9_2.fasta.transdecoder.pep,Callianthemum_alatavicum_42.fasta.transdecoder.pep,Nigella_sativa_31.fasta.transdecoder.pep,0.10586319218241043,0.760586319218241,0.13355048859934854,614.0
Anemone_flaccida_17.fasta.transdecoder.pep,Aquilegia_formosa_9_2.fasta.transdecoder.pep,Callianthemum_alatavicum_42.fasta.transdecoder.pep,Ranunculus_sceleratus_28.fasta.transdecoder.pep,0.09283387622149837,0.05374592833876222,0.8534201954397395,614.0
Anemone_flaccida_17.fasta.transdecoder.pep,Aquilegia_formosa_9_2.fasta.transdecoder.pep,Callianthemum_alatavicum_42.fasta.transdecoder.pep,Souliea_vaginata_34.fasta.transdecoder.pep,0.1270358306188925,0.7736156351791531,0.0993485342019544,614.0
Anemone_flaccida_17.fasta.transdecoder.pep,Aquilegia_formosa_9_2.fasta.transdecoder.pep,Callianthemum_alatavicum_42.fasta.transdecoder.pep,Trollius_ranunculoides_16.fasta.transdecoder.pep,0.10749185667752444,0.757328990228013,0.13517915309446255,614.0
Anemone_flaccida_17.fasta.transdecoder.pep,Aquilegia_formosa_9_2.fasta.transdecoder.pep,Caltha_scaposa_41.fasta.transdecoder.pep,Coptis_chinensis_4_2.fasta.transdecoder.pep,0.1449511400651466,0.752442996742671,0.10260586319218241,614.0
Anemone_flaccida_17.fasta.transdecoder.pep,Aquilegia_formosa_9_2.fasta.transdecoder.pep,Caltha_scaposa_41.fasta.transdecoder.pep,Delphinium_anthriscifolium_40.fasta.transdecoder.pep,0.46254071661237783,0.2915309446254072,0.24592833876221498,614.0
Anemone_flaccida_17.fasta.transdecoder.pep,Aquilegia_formosa_9_2.fasta.transdecoder.pep,Caltha_scaposa_41.fasta.transdecoder.pep,Helleborus_thibetanus_45.fasta.transdecoder.pep,0.247557003257329,0.249185667752443,0.503257328990228,614.0
Anemone_flaccida_17.fasta.transdecoder.pep,Aquilegia_formosa_9_2.fasta.transdecoder.pep,Caltha_scaposa_41.fasta.transdecoder.pep,Hydrastis_canadensis_2.fasta.transdecoder.pep,0.13517915309446255,0.7671009771986971,0.09771986970684039,614.0
Anemone_flaccida_17.fasta.transdecoder.pep,Aquilegia_formosa_9_2.fasta.transdecoder.pep,Caltha_scaposa_41.fasta.transdecoder.pep,Nigella_sativa_31.fasta.transdecoder.pep,0.4527687296416938,0.32084690553745926,0.2263843648208469,614.0
Anemone_flaccida_17.fasta.transdecoder.pep,Aquilegia_formosa_9_2.fasta.transdecoder.pep,Caltha_scaposa_41.fasta.transdecoder.pep,Ranunculus_sceleratus_28.fasta.transdecoder.pep,0.03420195439739414,0.04071661237785016,0.9250814332247557,614.0
Anemone_flaccida_17.fasta.transdecoder.pep,Aquilegia_formosa_9_2.fasta.transdecoder.pep,Caltha_scaposa_41.fasta.transdecoder.pep,Souliea_vaginata_34.fasta.transdecoder.pep,0.498371335504886,0.30944625407166126,0.19218241042345277,614.0
Anemone_flaccida_17.fasta.transdecoder.pep,Aquilegia_formosa_9_2.fasta.transdecoder.pep,Caltha_scaposa_41.fasta.transdecoder.pep,Trollius_ranunculoides_16.fasta.transdecoder.pep,0.36807817589576547,0.38762214983713356,0.24429967426710097,614.0
Anemone_flaccida_17.fasta.transdecoder.pep,Aquilegia_formosa_9_2.fasta.transdecoder.pep,Coptis_chinensis_4_2.fasta.transdecoder.pep,Delphinium_anthriscifolium_40.fasta.transdecoder.pep,0.14006514657980457,0.11563517915309446,0.744299674267101,614.0
Anemone_flaccida_17.fasta.transdecoder.pep,Aquilegia_formosa_9_2.fasta.transdecoder.pep,Coptis_chinensis_4_2.fasta.transdecoder.pep,Helleborus_thibetanus_45.fasta.transdecoder.pep,0.08631921824104234,0.08631921824104234,0.8273615635179153,614.0
Anemone_flaccida_17.fasta.transdecoder.pep,Aquilegia_formosa_9_2.fasta.transdecoder.pep,Coptis_chinensis_4_2.fasta.transdecoder.pep,Hydrastis_canadensis_2.fasta.transdecoder.pep,0.7899022801302932,0.08957654723127036,0.12052117263843648,614.0
Anemone_flaccida_17.fasta.transdecoder.pep,Aquilegia_formosa_9_2.fasta.transdecoder.pep,Coptis_chinensis_4_2.fasta.transdecoder.pep,Nigella_sativa_31.fasta.transdecoder.pep,0.14006514657980457,0.13680781758957655,0.7231270358306189,614.0
Anemone_flaccida_17.fasta.transdecoder.pep,Aquilegia_formosa_9_2.fasta.transdecoder.pep,Coptis_chinensis_4_2.fasta.transdecoder.pep,Ranunculus_sceleratus_28.fasta.transdecoder.pep,0.013029315960912053,0.03745928338762215,0.9495114006514658,614.0
Anemone_flaccida_17.fasta.transdecoder.pep,Aquilegia_formosa_9_2.fasta.transdecoder.pep,Coptis_chinensis_4_2.fasta.transdecoder.pep,Souliea_vaginata_34.fasta.transdecoder.pep,0.13192182410423453,0.13843648208469056,0.7296416938110749,614.0
Anemone_flaccida_17.fasta.transdecoder.pep,Aquilegia_formosa_9_2.fasta.transdecoder.pep,Coptis_chinensis_4_2.fasta.transdecoder.pep,Trollius_ranunculoides_16.fasta.transdecoder.pep,0.1237785016286645,0.13843648208469056,0.737785016286645,614.0
Anemone_flaccida_17.fasta.transdecoder.pep,Aquilegia_formosa_9_2.fasta.transdecoder.pep,Delphinium_anthriscifolium_40.fasta.transdecoder.pep,Helleborus_thibetanus_45.fasta.transdecoder.pep,0.2719869706840391,0.21335504885993486,0.5146579804560261,614.0
Anemone_flaccida_17.fasta.transdecoder.pep,Aquilegia_formosa_9_2.fasta.transdecoder.pep,Delphinium_anthriscifolium_40.fasta.transdecoder.pep,Hydrastis_canadensis_2.fasta.transdecoder.pep,0.14006514657980457,0.749185667752443,0.11074918566775244,614.0
